frame_index,system_relative_time,utc_timestamp,content_width,content_height
109,1294640500727,2026-04-22T04:16:41.110,1920,1080
110,1294641834062,2026-04-22T04:16:41.244,1920,1080
111,1294642500726,2026-04-22T04:16:41.310,1920,1080
112,1294643834045,2026-04-22T04:16:41.444,1920,1080
113,1294644500703,2026-04-22T04:16:41.510,1920,1080
114,1294647333981,2026-04-22T04:16:41.794,1920,1080
115,1294647500649,2026-04-22T04:16:41.810,1920,1080
116,1294648500631,2026-04-22T04:16:41.910,1920,1080
117,1294649500607,2026-04-22T04:16:42.010,1920,1080
118,1294650500594,2026-04-22T04:16:42.110,1920,1080
119,1294651500579,2026-04-22T04:16:42.210,1920,1080
120,1294653501259,2026-04-22T04:16:42.410,1920,1080
121,1294654500350,2026-04-22T04:16:42.510,1920,1080
122,1294655500490,2026-04-22T04:16:42.610,1920,1080
123,1294656500159,2026-04-22T04:16:42.710,1920,1080
124,1294657500259,2026-04-22T04:16:42.810,1920,1080
125,1294658500252,2026-04-22T04:16:42.910,1920,1080
126,1294659500271,2026-04-22T04:16:43.010,1920,1080
127,1294660500267,2026-04-22T04:16:43.110,1920,1080
128,1294661500218,2026-04-22T04:16:43.210,1920,1080
129,1294662500219,2026-04-22T04:16:43.310,1920,1080
130,1294663500211,2026-04-22T04:16:43.410,1920,1080
131,1294664500211,2026-04-22T04:16:43.510,1920,1080
132,1294665500186,2026-04-22T04:16:43.610,1920,1080
133,1294666500226,2026-04-22T04:16:43.710,1920,1080
134,1294667500224,2026-04-22T04:16:43.810,1920,1080
135,1294668500185,2026-04-22T04:16:43.910,1920,1080
136,1294669500148,2026-04-22T04:16:44.010,1920,1080
137,1294670500107,2026-04-22T04:16:44.110,1920,1080
138,1294671500076,2026-04-22T04:16:44.210,1920,1080
139,1294672500057,2026-04-22T04:16:44.310,1920,1080
140,1294673666699,2026-04-22T04:16:44.427,1920,1080
141,1294674500015,2026-04-22T04:16:44.510,1920,1080
142,1294675500018,2026-04-22T04:16:44.610,1920,1080
143,1294676500016,2026-04-22T04:16:44.710,1920,1080
144,1294677500000,2026-04-22T04:16:44.810,1920,1080
145,1294678499995,2026-04-22T04:16:44.910,1920,1080
146,1294679499977,2026-04-22T04:16:45.010,1920,1080
147,1294680499956,2026-04-22T04:16:45.110,1920,1080
148,1294681499940,2026-04-22T04:16:45.210,1920,1080
149,1294682499928,2026-04-22T04:16:45.310,1920,1080
150,1294683499934,2026-04-22T04:16:45.410,1920,1080
151,1294684499912,2026-04-22T04:16:45.510,1920,1080
152,1294685499919,2026-04-22T04:16:45.610,1920,1080
153,1294686499908,2026-04-22T04:16:45.710,1920,1080
154,1294687499915,2026-04-22T04:16:45.810,1920,1080
155,1294691500314,2026-04-22T04:16:46.210,1920,1080
156,1294692499739,2026-04-22T04:16:46.310,1920,1080
157,1294693499628,2026-04-22T04:16:46.410,1920,1080
158,1294694499624,2026-04-22T04:16:46.510,1920,1080
159,1294695499621,2026-04-22T04:16:46.610,1920,1080
160,1294696499628,2026-04-22T04:16:46.710,1920,1080
161,1294697499636,2026-04-22T04:16:46.810,1920,1080
162,1294698499629,2026-04-22T04:16:46.910,1920,1080
163,1294699499629,2026-04-22T04:16:47.010,1920,1080
164,1294700499620,2026-04-22T04:16:47.110,1920,1080
165,1294701499608,2026-04-22T04:16:47.210,1920,1080
166,1294702499599,2026-04-22T04:16:47.310,1920,1080
167,1294703499582,2026-04-22T04:16:47.410,1920,1080
168,1294704499617,2026-04-22T04:16:47.510,1920,1080
169,1294705499736,2026-04-22T04:16:47.610,1920,1080
170,1294706499792,2026-04-22T04:16:47.710,1920,1080
171,1294707499862,2026-04-22T04:16:47.810,1920,1080
172,1294708499864,2026-04-22T04:16:47.910,1920,1080
173,1294709499828,2026-04-22T04:16:48.010,1920,1080
174,1294710499805,2026-04-22T04:16:48.110,1920,1080
175,1294711499781,2026-04-22T04:16:48.210,1920,1080
176,1294712499759,2026-04-22T04:16:48.310,1920,1080
177,1294713499745,2026-04-22T04:16:48.410,1920,1080
178,1294714499739,2026-04-22T04:16:48.510,1920,1080
179,1294715499728,2026-04-22T04:16:48.610,1920,1080
180,1294716499725,2026-04-22T04:16:48.710,1920,1080
181,1294717499748,2026-04-22T04:16:48.810,1920,1080
182,1294718499714,2026-04-22T04:16:48.910,1920,1080
183,1294719499696,2026-04-22T04:16:49.010,1920,1080
184,1294720499687,2026-04-22T04:16:49.110,1920,1080
185,1294721499668,2026-04-22T04:16:49.210,1920,1080
186,1294722499654,2026-04-22T04:16:49.310,1920,1080
187,1294723499652,2026-04-22T04:16:49.410,1920,1080
188,1294724499648,2026-04-22T04:16:49.510,1920,1080
189,1294725499630,2026-04-22T04:16:49.610,1920,1080
190,1294726499620,2026-04-22T04:16:49.710,1920,1080
191,1294727499601,2026-04-22T04:16:49.810,1920,1080
192,1294728499597,2026-04-22T04:16:49.910,1920,1080
193,1294729499575,2026-04-22T04:16:50.010,1920,1080
194,1294730499554,2026-04-22T04:16:50.110,1920,1080
195,1294731499537,2026-04-22T04:16:50.210,1920,1080
196,1294732499526,2026-04-22T04:16:50.310,1920,1080
197,1294733499511,2026-04-22T04:16:50.410,1920,1080
198,1294734499494,2026-04-22T04:16:50.510,1920,1080
199,1294735499472,2026-04-22T04:16:50.610,1920,1080
200,1294736499462,2026-04-22T04:16:50.710,1920,1080
201,1294737499431,2026-04-22T04:16:50.810,1920,1080
202,1294738499424,2026-04-22T04:16:50.910,1920,1080
203,1294739499393,2026-04-22T04:16:51.010,1920,1080
204,1294740499380,2026-04-22T04:16:51.110,1920,1080
205,1294741499358,2026-04-22T04:16:51.210,1920,1080
206,1294742499342,2026-04-22T04:16:51.310,1920,1080
207,1294743499310,2026-04-22T04:16:51.410,1920,1080
208,1294744499281,2026-04-22T04:16:51.510,1920,1080
209,1294745499266,2026-04-22T04:16:51.610,1920,1080
210,1294746499232,2026-04-22T04:16:51.710,1920,1080
